Id,SalePrice
1461,127404.30349204676
1462,161363.0291285286
1463,176030.04710119043
1464,182714.3580712285
1465,196831.4243287598
1466,177804.17260043178
1467,173210.26991207537
1468,161967.72096904455
1469,181993.97381800303
1470,122119.78698776022
1471,206756.280966823
1472,95584.50356167291
1473,92019.58961967217
1474,154516.1843468787
1475,141167.2098849567
1476,382439.3181533223
1477,249093.46469588592
1478,306949.41368470184
1479,268587.0421278426
1480,482061.5566430524
1481,308118.727320022
1482,209576.33198025532
1483,169222.24868919473
1484,167706.0037242982
1485,177391.58919030338
1486,192196.01190964028
1487,343385.75201617414
1488,237557.27595763528
1489,188884.92782352463
1490,217689.80140843807
1491,192245.2595465985
1492,98923.81783349138
1493,185310.9966608539
1494,305671.87602774083
1495,295491.8096608835
1496,225438.36527427897
1497,168143.41036174522
1498,162722.93906015364
1499,162973.8851388166
1500,139126.32992729818
1501,171171.18382223803
1502,159349.61612752217
1503,285413.121217775
1504,225744.35135978097
1505,213826.8811591538
1506,189875.02589608883
1507,238300.22143399488
1508,197765.1049171016
1509,166556.42137154043
1510,146406.07650790372
1511,142336.81471214833
1512,167775.9777404672
1513,150744.84818236798
1514,187647.60643673764
1515,196880.53768423633
1516,175350.5145690576
1517,152276.31226627185
1518,143010.81996628174
1519,226796.68517275158
1520,135026.8282235493
1521,138414.31361680935
1522,166317.08608729194
1523,104979.57373390449
1524,124916.39677998304
1525,127551.1921350805
1526,132949.7014754414
1527,107459.13260072713
1528,141920.19668758637
1529,146431.53505072594
1530,183943.58685046568
1531,87885.44431717518
1532,92050.16620941271
1533,144683.20156526324
1534,126809.35702990559
1535,163190.18870494672
1536,119838.38364241322
1537,72008.1945613318
1538,203311.4838802189
1539,201923.6697922546
1540,84028.48896195918
1541,156993.82651562052
1542,139440.10016099963
1543,233362.40133979626
1544,91144.9048935947
1545,113772.69393819332
1546,121157.14558715597
1547,128505.52723474811
1548,137072.69334977167
1549,114992.57350295957
1550,134429.03443075722
1551,120130.88389820114
1552,124205.42926237678
1553,147189.6547783888
1554,111870.43949475081
1555,171563.56510412012
1556,83688.54147174222
1557,104757.49297253674
1558,95972.54398250506
1559,68373.99356101801
1560,124518.0398584238
1561,128866.75696655273
1562,133353.90157967363
1563,121847.60489259618
1564,156921.22956816293
1565,140742.98546936145
1566,223492.02042972972
1567,78009.50659535947
1568,215507.45192015576
1569,121818.90407976857
1570,123906.7476107198
1571,128289.5621799096
1572,151816.56071491246
1573,245384.42510888257
1574,111098.33480238215
1575,218544.0833465041
1576,223383.5286063183
